wall_epoch,phase,gpu,memory_used_mib,utilization_pct
1787561276.8515775,startup,3,4,0.0
1787561276.8515775,startup,4,4,0.0
1787561276.8515775,startup,5,4,0.0
1787561276.8515775,startup,6,4,0.0
1787561278.0502706,startup,3,4,0.0
1787561278.0502706,startup,4,4,0.0
1787561278.0502706,startup,5,4,0.0
1787561278.0502706,startup,6,4,0.0
1787561279.969496,startup,3,4,0.0
1787561279.969496,startup,4,4,0.0
1787561279.969496,startup,5,4,0.0
1787561279.969496,startup,6,4,0.0
1787561281.9081733,startup,3,435,0.0
1787561281.9081733,startup,4,4,0.0
1787561281.9081733,startup,5,4,0.0
1787561281.9081733,startup,6,4,0.0
1787561283.8593872,startup,3,4,0.0
1787561283.8593872,startup,4,4,0.0
1787561283.8593872,startup,5,43,0.0
1787561283.8593872,startup,6,4,0.0
1787561285.162484,startup,3,4,0.0
1787561285.162484,startup,4,4,0.0
1787561285.162484,startup,5,4,0.0
1787561285.162484,startup,6,533,3.0
1787561286.4135268,startup,3,4,0.0
1787561286.4135268,startup,4,4,0.0
1787561286.4135268,startup,5,4,0.0
1787561286.4135268,startup,6,4,0.0
1787561287.980496,startup,3,4,0.0
1787561287.980496,startup,4,4,0.0
1787561287.980496,startup,5,4,0.0
1787561287.980496,startup,6,4,0.0
1787561289.813208,startup,3,4,0.0
1787561289.813208,startup,4,4,0.0
1787561289.813208,startup,5,4,0.0
1787561289.813208,startup,6,4,0.0
1787561291.084677,startup,3,4,0.0
1787561291.084677,startup,4,4,0.0
1787561291.084677,startup,5,4,0.0
1787561291.084677,startup,6,4,0.0
1787561292.3040009,startup,3,0,0.0
1787561292.3040009,startup,4,0,0.0
1787561292.3040009,startup,5,0,0.0
1787561292.3040009,startup,6,0,0.0
1787561293.7792177,startup,3,0,0.0
1787561293.7792177,startup,4,0,0.0
1787561293.7792177,startup,5,0,0.0
1787561293.7792177,startup,6,0,0.0
1787561295.7596202,startup,3,0,0.0
1787561295.7596202,startup,4,0,0.0
1787561295.7596202,startup,5,0,0.0
1787561295.7596202,startup,6,0,0.0
1787561297.6129773,startup,3,0,0.0
1787561297.6129773,startup,4,0,0.0
1787561297.6129773,startup,5,0,0.0
1787561297.6129773,startup,6,0,0.0
1787561299.5046144,startup,3,0,0.0
1787561299.5046144,startup,4,0,0.0
1787561299.5046144,startup,5,0,0.0
1787561299.5046144,startup,6,0,0.0
1787561301.3152122,startup,3,0,0.0
1787561301.3152122,startup,4,0,0.0
1787561301.3152122,startup,5,0,0.0
1787561301.3152122,startup,6,0,0.0
1787561302.6950321,startup,3,0,0.0
1787561302.6950321,startup,4,0,0.0
1787561302.6950321,startup,5,0,0.0
1787561302.6950321,startup,6,0,0.0
1787561304.2212744,startup,3,0,0.0
1787561304.2212744,startup,4,0,0.0
1787561304.2212744,startup,5,0,0.0
1787561304.2212744,startup,6,0,0.0
1787561305.9042737,startup,3,0,0.0
1787561305.9042737,startup,4,0,0.0
1787561305.9042737,startup,5,0,0.0
1787561305.9042737,startup,6,0,0.0
1787561307.1578536,startup,3,0,0.0
1787561307.1578536,startup,4,0,0.0
1787561307.1578536,startup,5,0,0.0
1787561307.1578536,startup,6,0,0.0
1787561308.389802,startup,3,0,0.0
1787561308.389802,startup,4,0,0.0
1787561308.389802,startup,5,0,0.0
1787561308.389802,startup,6,0,0.0
1787561309.773807,startup,3,0,0.0
1787561309.773807,startup,4,0,0.0
1787561309.773807,startup,5,0,0.0
1787561309.773807,startup,6,0,0.0
1787561311.6369402,startup,3,0,0.0
1787561311.6369402,startup,4,0,0.0
1787561311.6369402,startup,5,0,0.0
1787561311.6369402,startup,6,0,0.0
1787561313.5645263,startup,3,0,0.0
1787561313.5645263,startup,4,0,0.0
1787561313.5645263,startup,5,0,0.0
1787561313.5645263,startup,6,0,0.0
1787561315.4907568,startup,3,4,0.0
