wall_epoch,phase,gpu,memory_used_mib,utilization_pct
1787560679.2659736,startup,3,0,0.0
1787560679.2659736,startup,4,0,0.0
1787560679.2659736,startup,5,0,0.0
1787560679.2659736,startup,6,0,0.0
1787560680.4686215,startup,3,0,0.0
1787560680.4686215,startup,4,0,0.0
1787560680.4686215,startup,5,0,0.0
1787560680.4686215,startup,6,0,0.0
1787560682.0479486,startup,3,0,0.0
1787560682.0479486,startup,4,0,0.0
1787560682.0479486,startup,5,0,0.0
1787560682.0479486,startup,6,0,0.0
1787560683.9058683,startup,3,0,0.0
1787560683.9058683,startup,4,0,0.0
1787560683.9058683,startup,5,0,0.0
1787560683.9058683,startup,6,0,0.0
1787560685.1402469,startup,3,0,0.0
1787560685.1402469,startup,4,0,0.0
1787560685.1402469,startup,5,0,0.0
1787560685.1402469,startup,6,0,0.0
1787560686.3856812,startup,3,0,0.0
1787560686.3856812,startup,4,0,0.0
1787560686.3856812,startup,5,0,0.0
1787560686.3856812,startup,6,0,0.0
1787560687.679133,startup,3,0,0.0
1787560687.679133,startup,4,0,0.0
1787560687.679133,startup,5,0,0.0
1787560687.679133,startup,6,0,0.0
1787560689.530461,startup,3,0,0.0
1787560689.530461,startup,4,0,0.0
1787560689.530461,startup,5,0,0.0
1787560689.530461,startup,6,0,0.0
1787560690.8377151,startup,3,0,0.0
1787560690.8377151,startup,4,0,0.0
1787560690.8377151,startup,5,0,0.0
1787560690.8377151,startup,6,0,0.0
1787560692.049466,startup,3,0,0.0
1787560692.049466,startup,4,0,0.0
1787560692.049466,startup,5,0,0.0
1787560692.049466,startup,6,0,0.0
1787560693.3844738,startup,3,0,0.0
1787560693.3844738,startup,4,0,0.0
1787560693.3844738,startup,5,0,0.0
1787560693.3844738,startup,6,0,0.0
1787560694.7137942,startup,3,0,0.0
1787560694.7137942,startup,4,0,0.0
1787560694.7137942,startup,5,0,0.0
1787560694.7137942,startup,6,0,0.0
1787560695.9003758,startup,3,0,0.0
1787560695.9003758,startup,4,0,0.0
1787560695.9003758,startup,5,0,0.0
1787560695.9003758,startup,6,0,0.0
1787560697.2843347,startup,3,0,0.0
1787560697.2843347,startup,4,0,0.0
1787560697.2843347,startup,5,0,0.0
1787560697.2843347,startup,6,0,0.0
1787560699.1631916,startup,3,0,0.0
1787560699.1631916,startup,4,0,0.0
1787560699.1631916,startup,5,0,0.0
1787560699.1631916,startup,6,0,0.0
1787560700.5219584,startup,3,0,0.0
1787560700.5219584,startup,4,0,0.0
1787560700.5219584,startup,5,0,0.0
1787560700.5219584,startup,6,0,0.0
1787560701.7339694,startup,3,0,0.0
1787560701.7339694,startup,4,0,0.0
1787560701.7339694,startup,5,0,0.0
1787560701.7339694,startup,6,0,0.0
1787560703.151934,startup,3,0,0.0
1787560703.151934,startup,4,0,0.0
1787560703.151934,startup,5,0,0.0
1787560703.151934,startup,6,0,0.0
1787560705.090846,startup,3,0,0.0
1787560705.090846,startup,4,0,0.0
1787560705.090846,startup,5,0,0.0
1787560705.090846,startup,6,0,0.0
1787560706.9550424,startup,3,0,0.0
1787560706.9550424,startup,4,0,0.0
1787560706.9550424,startup,5,0,0.0
1787560706.9550424,startup,6,0,0.0
1787560708.2611918,startup,3,0,0.0
1787560708.2611918,startup,4,0,0.0
1787560708.2611918,startup,5,0,0.0
1787560708.2611918,startup,6,0,0.0
1787560709.5719771,startup,3,0,0.0
1787560709.5719771,startup,4,0,0.0
1787560709.5719771,startup,5,0,0.0
1787560709.5719771,startup,6,0,0.0
1787560710.9629452,startup,3,0,0.0
1787560710.9629452,startup,4,0,0.0
1787560710.9629452,startup,5,0,0.0
1787560710.9629452,startup,6,0,0.0
1787560712.6448083,startup,3,0,0.0
1787560712.6448083,startup,4,0,0.0
1787560712.6448083,startup,5,0,0.0
1787560712.6448083,startup,6,0,0.0
1787560714.4697788,startup,3,0,0.0
1787560714.4697788,startup,4,0,0.0
1787560714.4697788,startup,5,0,0.0
1787560714.4697788,startup,6,0,0.0
1787560715.8017063,startup,3,0,0.0
1787560715.8017063,startup,4,0,0.0
1787560715.8017063,startup,5,0,0.0
1787560715.8017063,startup,6,0,0.0
1787560717.0073986,startup,3,0,0.0
1787560717.0073986,startup,4,0,0.0
1787560717.0073986,startup,5,0,0.0
1787560717.0073986,startup,6,0,0.0
1787560718.417615,startup,3,4,0.0
1787560718.417615,startup,4,1,0.0
1787560718.417615,startup,5,1,0.0
1787560718.417615,startup,6,1,0.0
1787560720.2930324,startup,3,4,0.0
1787560720.2930324,startup,4,4,0.0
1787560720.2930324,startup,5,4,0.0
1787560720.2930324,startup,6,4,0.0
1787560721.7238207,startup,3,4,0.0
1787560721.7238207,startup,4,4,0.0
1787560721.7238207,startup,5,4,0.0
1787560721.7238207,startup,6,4,0.0
1787560723.1694903,startup,3,4,0.0
1787560723.1694903,startup,4,4,0.0
1787560723.1694903,startup,5,4,0.0
1787560723.1694903,startup,6,4,0.0
1787560724.9827871,startup,3,4,0.0
1787560724.9827871,startup,4,4,0.0
1787560724.9827871,startup,5,4,0.0
1787560724.9827871,startup,6,4,0.0
1787560726.8746822,startup,3,4,0.0
1787560726.8746822,startup,4,4,0.0
1787560726.8746822,startup,5,4,0.0
1787560726.8746822,startup,6,4,0.0
1787560728.7126079,startup,3,4,0.0
1787560728.7126079,startup,4,4,0.0
1787560728.7126079,startup,5,4,0.0
1787560728.7126079,startup,6,4,0.0
1787560730.593268,startup,3,4,0.0
1787560730.593268,startup,4,4,0.0
1787560730.593268,startup,5,4,0.0
1787560730.593268,startup,6,4,0.0
1787560732.52263,startup,3,4,0.0
1787560732.52263,startup,4,4,0.0
1787560732.52263,startup,5,4,0.0
1787560732.52263,startup,6,4,0.0
1787560734.4614732,startup,3,4,0.0
1787560734.4614732,startup,4,4,0.0
1787560734.4614732,startup,5,4,0.0
1787560734.4614732,startup,6,4,0.0
1787560736.7357378,startup,3,4,0.0
1787560736.7357378,startup,4,4,0.0
1787560736.7357378,startup,5,4,0.0
1787560736.7357378,startup,6,4,0.0
1787560738.8068962,startup,3,4,0.0
1787560738.8068962,startup,4,4,0.0
1787560738.8068962,startup,5,4,0.0
1787560738.8068962,startup,6,4,0.0
1787560740.663182,startup,3,4,0.0
1787560740.663182,startup,4,4,0.0
1787560740.663182,startup,5,4,0.0
1787560740.663182,startup,6,4,0.0
1787560742.6386964,startup,3,4,0.0
1787560742.6386964,startup,4,4,0.0
1787560742.6386964,startup,5,4,0.0
1787560742.6386964,startup,6,4,0.0
1787560744.484994,startup,3,4,0.0
1787560744.484994,startup,4,4,0.0
1787560744.484994,startup,5,4,0.0
1787560744.484994,startup,6,4,0.0
1787560746.4655218,startup,3,4,0.0
1787560746.4655218,startup,4,4,0.0
1787560746.4655218,startup,5,4,0.0
1787560746.4655218,startup,6,4,0.0
1787560748.4802551,startup,3,4,0.0
1787560748.4802551,startup,4,4,0.0
1787560748.4802551,startup,5,4,0.0
1787560748.4802551,startup,6,4,0.0
1787560750.7488315,startup,3,4,0.0
1787560750.7488315,startup,4,4,0.0
1787560750.7488315,startup,5,4,0.0
1787560750.7488315,startup,6,4,0.0
1787560752.7764192,startup,3,4,0.0
1787560752.7764192,startup,4,4,0.0
1787560752.7764192,startup,5,4,0.0
1787560752.7764192,startup,6,4,0.0
1787560755.624835,startup,3,4,0.0
1787560755.624835,startup,4,4,0.0
1787560755.624835,startup,5,4,0.0
1787560755.624835,startup,6,4,0.0
1787560757.9336946,startup,3,4,0.0
1787560757.9336946,startup,4,4,0.0
1787560757.9336946,startup,5,4,0.0
